iter	Passed	Remaining
591	29136	18899
592	29182	18848
593	29235	18801
594	29284	18752
595	29338	18705
596	29384	18654
597	29437	18607
598	29482	18555
599	29528	18504
600	29576	18454
601	29627	18406
602	29677	18357
603	29726	18308
604	29772	18257
605	29815	18204
606	29863	18154
607	29912	18104
608	29955	18052
609	30005	18003
610	30050	17951
611	30094	17899
612	30137	17846
613	30192	17800
614	30243	17752
615	30288	17701
616	30336	17651
617	30386	17602
618	30429	17550
619	30478	17500
620	30526	17450
621	30572	17399
622	30621	17350
623	30669	17300
624	30716	17250
625	30797	17219
626	30848	17170
627	30894	17119
628	30943	17070
629	30988	17019
630	31038	16970
631	31080	16917
632	31125	16865
633	31173	16815
634	31219	16765
635	31279	16721
636	31343	16680
637	31392	16631
638	31449	16585
639	31500	16537
640	31547	16487
641	31594	16437
642	31641	16386
643	31684	16334
644	31732	16284
645	31781	16235
646	31827	16184
647	31873	16133
648	31933	16089
649	31981	16040
650	32030	15990
651	32075	15939
652	32120	15888
653	32167	15837
654	32216	15788
655	32261	15737
656	32310	15687
657	32360	15639
658	32411	15590
659	32459	15541
660	32508	15492
661	32563	15445
662	32617	15398
663	32664	15348
664	32714	15299
665	32762	15249
666	32806	15198
667	32852	15147
668	32898	15097
669	32949	15048
670	33014	15006
671	33062	14957
672	33106	14905
673	33153	14854
674	33211	14809
675	33255	14758
676	33303	14708
677	33349	14657
678	33391	14605
679	33441	14556
680	33497	14510
681	33542	14459
682	33589	14409
683	33640	14361
684	33688	14311
685	33739	14262
686	33793	14215
687	33841	14166
688	33887	14115
689	33931	14064
690	33978	14014
691	34038	13969
692	34090	13921
693	34143	13874
694	34190	13823
695	34238	13774
696	34290	13726
697	34338	13676
698	34385	13626
699	34429	13574
700	34478	13525
701	34538	13480
702	34586	13430
703	34630	13379
704	34677	13330
705	34729	13281
706	34775	13231
707	34820	13180
708	34865	13129
709	34915	13080
710	34962	13031
711	35033	12990
712	35080	12939
713	35130	12890
714	35176	12840
715	35223	12790
716	35272	12741
717	35325	12693
718	35368	12642
719	35414	12591
720	35463	12542
721	35511	12493
722	35561	12444
723	35611	12395
724	35654	12343
725	35699	12293
726	35743	12242
727	35794	12193
728	35839	12143
729	35882	12091
730	35934	12043
731	35986	11995
732	36035	11946
733	36084	11897
734	36133	11847
735	36179	11797
736	36228	11748
737	36275	11698
738	36322	11648
739	36366	11597
740	36413	11548
741	36458	11497
742	36505	11447
743	36550	11397
744	36598	11348
745	36646	11298
746	36694	11248
747	36742	11199
748	36786	11148
749	36833	11099
750	36885	11050
751	36932	11001
752	36980	10951
753	37028	10902
754	37082	10854
755	37129	10804
756	37173	10754
757	37222	10705
758	37268	10655
759	37317	10605
760	37361	10555
761	37409	10506
762	37459	10457
763	37522	10412
764	37569	10362
765	37613	10311
766	37658	10261
767	37707	10212
768	37753	10162
769	37798	10112
770	37846	10062
771	37897	10014
772	37953	9967
773	38003	9918
774	38093	9879
775	38144	9831
776	38189	9780
777	38236	9731
778	38283	9681
779	38329	9631
780	38375	9581
781	38422	9531
782	38467	9481
783	38515	9432
784	38566	9383
785	38612	9333
786	38660	9284
787	38705	9234
788	38751	9184
789	38800	9135
790	38847	9085
791	38892	9035
792	38942	8986
793	38996	8938
794	39050	8890
795	39097	8841
796	39149	8792
797	39194	8742
798	39241	8693
799	39287	8643
800	39341	8595
801	39389	8545
802	39440	8497
803	39486	8447
804	39539	8399
805	39592	8350
806	39638	8300
807	39683	8250
808	39730	8201
809	39777	8151
810	39822	8101
811	39867	8052
812	39921	8004
813	39968	7954
814	40018	7905
815	40063	7855
816	40110	7806
817	40153	7755
818	40202	7706
819	40251	7657
820	40293	7607
821	40335	7556
822	40391	7509
823	40436	7459
824	40483	7409
825	40540	7362
826	40615	7317
827	40662	7268
828	40703	7217
829	40747	7167
830	40793	7118
831	40841	7068
832	40889	7019
833	40940	6970
834	40986	6920
835	41040	6872
836	41087	6823
837	41135	6774
838	41179	6724
839	41224	6674
840	41266	6624
841	41315	6575
842	41358	6525
843	41406	6475
